TimeStamp,inject_serive,inject_type,time,last_time (s)
2022-03-25 18:13:00,mysql,db_delay,3018,180
2022-03-25 18:33:00,adservice,cpu,3038,180
2022-03-25 18:52:00,emailservice,cpu,3057,180
2022-03-25 19:12:00,productcatalogservice,latency,3077,180
2022-03-25 19:32:00,index,excessive flow,3097,180
2022-03-25 19:51:00,productcatalogservice,faulty-update,3116,180
2022-03-25 20:10:00,mysql,db_delay,3135,180
2022-03-25 20:29:00,checkoutservice,faulty-update,3154,180
2022-03-25 20:48:00,shippingservice,cpu,3173,180
2022-03-25 21:07:00,emailservice,faulty-update,3192,180
2022-03-25 21:25:00,index,excessive flow,3210,180
2022-03-25 21:45:00,cartservice,cpu,3230,180
2022-03-25 22:03:00,mysql,db_delay,3248,180
2022-03-25 22:21:00,adservice,cpu,3266,180
2022-03-25 22:41:00,productcatalogservice,faulty-update,3286,180
2022-03-25 22:59:00,recommendationservice,latency,3304,180
2022-03-25 23:18:00,mysql,db_delay,3323,180
2022-03-25 23:38:00,mysql,db_delay,3343,180
2022-03-25 23:56:00,mysql,db_delay,3361,180
2022-03-26 00:15:00,index,excessive flow,3380,180
2022-03-26 00:34:00,adservice,cpu,3399,180
2022-03-26 00:53:00,setcurrency,excessive flow,3418,180
2022-03-26 01:12:00,productcatalogservice,faulty-update,3437,180
2022-03-26 01:32:00,browseproduct,excessive flow,3457,180
2022-03-26 01:50:00,productcatalogservice,latency,3475,180
2022-03-26 02:10:00,index,excessive flow,3495,180
2022-03-26 02:30:00,productcatalogservice,cpu,3515,180
2022-03-26 02:49:00,mysql,db_delay,3534,180
2022-03-26 03:08:00,adservice,faulty-update,3553,180
2022-03-26 03:27:00,mysql,db_delay,3572,180
2022-03-26 03:47:00,emailservice,cpu,3592,180
2022-03-26 04:06:00,recommendationservice,faulty-update,3611,180
2022-03-26 04:24:00,recommendationservice,latency,3629,180
2022-03-26 04:43:00,emailservice,faulty-update,3648,180
2022-03-26 05:02:00,mysql,db_delay,3667,180
2022-03-26 05:22:00,checkoutservice,faulty-update,3687,180
2022-03-26 05:41:00,productcatalogservice,cpu,3706,180
2022-03-26 05:59:00,paymentservice,faulty-update,3724,180
2022-03-26 06:18:00,browseproduct,excessive flow,3743,180
2022-03-26 06:38:00,currencyservice,faulty-update,3763,180
2022-03-26 06:57:00,emailservice,cpu,3782,180
2022-03-26 07:17:00,adservice,faulty-update,3802,180
2022-03-26 07:36:00,addtocart,excessive flow,3821,180
2022-03-26 07:54:00,adservice,cpu,3839,180
2022-03-26 08:13:00,paymentservice,faulty-update,3858,180
2022-03-26 08:32:00,productcatalogservice,latency,3877,180
2022-03-26 08:50:00,paymentservice,cpu,3895,180
2022-03-26 09:10:00,shippingservice,faulty-update,3915,180
2022-03-26 09:29:00,adservice,faulty-update,3934,180
2022-03-26 09:47:00,currencyservice,cpu,3952,180
2022-03-26 10:06:00,shippingservice,cpu,3971,180
2022-03-26 10:25:00,cartservice,cpu,3990,180
2022-03-26 10:44:00,paymentservice,faulty-update,4009,180
2022-03-26 11:03:00,setcurrency,excessive flow,4028,180
2022-03-26 11:22:00,recommendationservice,cpu,4047,180
2022-03-26 11:41:00,emailservice,faulty-update,4066,180
2022-03-26 11:59:00,viewcart,excessive flow,4084,180
2022-03-26 12:18:00,index,excessive flow,4103,180
2022-03-26 12:37:00,shippingservice,faulty-update,4122,180
2022-03-26 12:56:00,browseproduct,excessive flow,4141,180
2022-03-26 13:15:00,mysql,db_delay,4160,180
2022-03-26 13:34:00,emailservice,faulty-update,4179,180
2022-03-26 13:53:00,recommendationservice,faulty-update,4198,180
